Fecha,Noroeste monÛxido de carbono,Noreste monÛxido de carbono,Centro monÛxido de carbono,Suroeste monÛxido de carbono,Sureste monÛxido de carbono
01/01/22,13.91666667,14.08333333,10.20833333,7.25,11.54166667
02/01/22,6.583333333,10.20833333,9.5,4.875,9.75
03/01/22,4.888888889,5.666666667,5.055555556,4.555555556,4.944444444
04/01/22,8.916666667,11.125,8.25,5.416666667,10.29166667
05/01/22,10.25,14.25,9.791666667,4.916666667,11.70833333
06/01/22,11.04166667,12.125,9.416666667,6.5,11.04166667
07/01/22,7.625,8.708333333,8.416666667,4.458333333,8.041666667
08/01/22,6.291666667,10.625,9.458333333,4.125,7.666666667
09/01/22,4,5.388888889,5.388888889,3.666666667,5.166666667
10/01/22,4.125,5.791666667,3.875,2.5,5.333333333
11/01/22,2.958333333,3.833333333,3.958333333,2.458333333,4.791666667
12/01/22,5.458333333,5.375,4.458333333,4.875,7
13/01/22,5.625,6.25,5.458333333,4.166666667,8.791666667
14/01/22,6.666666667,8.5,6.583333333,4.583333333,8.5
15/01/22,7.722222222,11,6.888888889,4.277777778,8.277777778
16/01/22,4.666666667,6.541666667,4.875,5.25,6.875
17/01/22,6.041666667,8.875,6.041666667,4.875,6.541666667
18/01/22,5.833333333,8.541666667,6.208333333,4.541666667,7.083333333
19/01/22,5.708333333,9.166666667,6.625,4.958333333,7.083333333
20/01/22,5.25,8.166666667,6,3.791666667,7.625
21/01/22,4.722222222,5.222222222,3.555555556,3.75,4.777777778
22/01/22,3.625,4.625,3.25,2.458333333,3.791666667
23/01/22,4.791666667,5.666666667,4.625,4.75,5.208333333
24/01/22,5.041666667,5.25,4.5,3.416666667,4.25
25/01/22,4.083333333,5.541666667,4.541666667,3,4.208333333
26/01/22,6.458333333,7.791666667,5.541666667,4.625,5.291666667
27/01/22,6.666666667,7.944444444,6.777777778,4.777777778,6.166666667
28/01/22,5.333333333,8.041666667,6.75,5.083333333,7.583333333
29/01/22,3.416666667,4.833333333,3.5,3.916666667,3.791666667
30/01/22,6.583333333,8.75,6.541666667,4.583333333,7.416666667
31/01/22,6,8.333333333,4.541666667,4.166666667,6.833333333
01/02/22,5.833333333,7.25,4.625,3.666666667,6.25
02/02/22,7.111111111,7.333333333,5.277777778,3.583333333,7
03/02/22,4.541666667,5.291666667,4.708333333,4.166666667,4.916666667
04/02/22,5.208333333,6.75,4.833333333,4.208333333,7
05/02/22,5.5,6.125,4.958333333,5.083333333,4.916666667
06/02/22,5.333333333,6.833333333,6.125,4.291666667,6
07/02/22,4.916666667,7.166666667,6.458333333,4.375,6.208333333
08/02/22,4.875,6,4.944444444,5,4.888888889
09/02/22,6.708333333,8,4.875,4,6.958333333
10/02/22,5.208333333,6.291666667,6.541666667,3.708333333,5.041666667
11/02/22,4.958333333,5.458333333,5.125,3.208333333,5.666666667
12/02/22,4.916666667,5.75,5.666666667,3.166666667,4.041666667
13/02/22,2.5,3.25,3.666666667,3.375,4.75
14/02/22,6,7.277777778,5.875,5.611111111,6.277777778
15/02/22,5.458333333,6,7.041666667,6,6.083333333
16/02/22,5.541666667,5.541666667,5.375,4.25,4.333333333
17/02/22,5.666666667,6.708333333,7.291666667,3.666666667,5.041666667
