Pais,Altura_media_hombres,Altura_media_mujeres
Países Bajos,1.84,1.7
Montenegro,1.83,1.7
Estonia,1.82,1.68
Dinamarca,1.82,1.69
Bosnia y Hercegovina,1.82,1.67
Islandia,1.81,1.68
Chequia,1.81,1.68
Eslovenia,1.81,1.67
Eslovaquia,1.81,1.67
Croacia,1.81,1.67
Serbia,1.8,1.68
Suecia,1.8,1.67
Noruega,1.8,1.66
Lituania,1.8,1.67
Polonia,1.8,1.65
Ucrania,1.8,1.66
Finlandia,1.8,1.66
Letonia,1.8,1.68
Alemania,1.8,1.66
Dominica,1.8,1.67
Bélgica,1.79,1.64
Bermudas,1.79,1.66
Grecia,1.79,1.65
Puerto Rico,1.79,1.63
Suiza,1.79,1.64
Australia,1.79,1.65
Irlanda,1.79,1.64
Canadá,1.78,1.65
Austria,1.78,1.66
Francia,1.78,1.64
Antigua y Barbuda,1.78,1.65
Líbano,1.78,1.63
Belarús,1.78,1.66
Andorra,1.78,1.65
Polinesia Francesa,1.78,1.66
Islas Cook,1.78,1.67
Luxemburgo,1.78,1.65
Reino Unido,1.78,1.64
Granada,1.78,1.65
Nueva Zelandia,1.78,1.65
Rumania,1.77,1.64
Niue,1.77,1.67
EE.UU.,1.77,1.63
Samoa Americana,1.77,1.67
Jamaica,1.76,1.64
Rusia,1.76,1.64
Tokelau,1.76,1.66
Santa Lucía,1.76,1.65
España,1.76,1.62
Turquía,1.76,1.61
Israel,1.76,1.62
Marruecos,1.75,1.61
Brasil,1.75,1.62
Corea del Sur,1.75,1.63
Irán,1.75,1.61
Tonga,1.75,1.66
China,1.75,1.63
Kuwait,1.74,1.6
Hong Kong,1.74,1.6
Argentina,1.74,1.61
República Dominicana,1.74,1.61
Italia,1.74,1.61
Bahamas,1.74,1.63
Uruguay,1.74,1.61
Portugal,1.74,1.61
Corea del Norte,1.74,1.61
Argelia,1.74,1.62
Costa Rica,1.74,1.6
Albania,1.74,1.62
Samoa,1.73,1.63
San Cristóbal,1.73,1.63
Emiratos Árabes,1.73,1.6
Groenlandia,1.73,1.61
Cuba,1.73,1.6
Paraguay,1.73,1.59
Singapur,1.73,1.61
Armenia,1.73,1.59
Egipto,1.73,1.6
Venezuela,1.73,1.6
Chile,1.73,1.59
Catar,1.73,1.6
Bahrein,1.72,1.58
Haití,1.72,1.6
Japón,1.72,1.58
Colombia,1.71,1.58
Tailandia,1.71,1.59
Tuvalu,1.71,1.63
Camerún,1.71,1.6
Siria,1.71,1.59
Chad,1.71,1.62
Palaos,1.7,1.59
Belice,1.7,1.58
Eritrea,1.7,1.57
Mongolia,1.7,1.6
El Salvador,1.7,1.56
Arabia Saudita,1.7,1.58
México,1.7,1.57
Kiribati,1.7,1.61
Panamá,1.7,1.58
Nicaragua,1.69,1.55
Nauru,1.69,1.58
Micronesia,1.69,1.59
Sudáfrica,1.69,1.58
Honduras,1.69,1.55
Malasia,1.68,1.57
Vietnam,1.68,1.58
Costa de Marfil,1.68,1.58
Bolivia,1.68,1.55
Afganistán,1.68,1.55
Congo (Rep. Democr.),1.68,1.56
Etiopía,1.68,1.57
Maldivas,1.68,1.54
Ecuador,1.67,1.55
Burundi,1.67,1.55
Pakistán,1.67,1.54
Perú,1.66,1.54
India,1.66,1.55
Indonesia,1.66,1.54
Camboya,1.65,1.54
Madagascar,1.65,1.53
Filipinas,1.65,1.54
Bangladesh,1.65,1.52
Nepal,1.64,1.52
Guatemala,1.64,1.51
Yemen,1.63,1.54
Laos,1.62,1.53
Timor Oriental,1.59,1.52
