Estado,Abreviatura,Regiones, Mujeres, Hombres, No_especificado,Total,Poblacion
 Aguascalientes,AG,Centro-norte,13,89, ,102,"1,425,607"
 Baja California,BC,Norte,334,"2,617",133,"3,084","3,769,020"
 Baja California Sur,BS,Norte-occidente,8,53, ,61,"798,447"
 Campeche,CM,Sur,14,93, ,107,"928,363"
 Coahuila de Zaragoza,CO,Norte,24,133, ,157,"3,146,771"
 Colima,CL,Centro-norte,53,485,1,539,"731,391"
 Chiapas,CS,Sur,65,491,4,560,"5,543,828"
 Chihuahua,CH,Norte,324,"2,324", ,"2,648","3,741,869"
 CDMX,CX,Centro,127,946,1,"1,074","9,209,944"
 Durango,DG,Norte-occidente,9,125,1,135,"1,832,650"
 Guanajuato,GT,Centro,526,"3,498",20,"4,044","6,166,934"
 Guerrero,GR,Sur,149,"1,259",10,"1,418","3,540,685"
 Hidalgo,HG,Centro,43,240, ,283,"3,082,841"
 Jalisco,JC,Centro-norte,235,"1,852",5,"2,092","8,348,151"
 Mexico,EM,Centro,432,"2,635",20,"3,087","16,992,418"
 Michoacan,MI,Centro-norte,267,"2,373",2,"2,642","4,748,846"
 Morelos,MO,Centro,97,"1,045", ,"1,142","1,971,520"
 Nayarit,NA,Norte-occidente,28,172,3,203,"1,235,456"
 Nuevo Leon,NL,Norte,101,957, ,"1,058","5,784,442"
 Oaxaca,OA,Sur,80,664, ,744,"4,132,148"
 Puebla,PU,Centro,109,706,3,818,"6,583,278"
 Queretaro,QT,Centro,27,199, ,226,"2,368,467"
 Quintana Roo,QR,Sur,75,594, ,669,"1,857,985"
 San Luis Potosi,SL,Centro-norte,82,686,9,777,"2,822,255"
 Sinaloa,SI,Norte-occidente,35,571,1,607,"3,026,943"
 Sonora,SO,Norte,150,"1,699",73,"1,922","2,944,840"
 Tabasco,TB,Sur,45,390, ,435,"2,402,598"
 Tamaulipas,TM,Norte,62,610,41,713,"3,527,735"
 Tlaxcala,TL,Centro,29,130, ,159,"1,342,977"
 Veracruz,VE,Sur,107,820,1,928,"8,062,579"
 Yucatan,YU,Sur,7,43, ,50,"2,320,898"
 Zacatecas,ZA,Norte-occidente,163,"1,520",6,"1,689","1,622,138"
