Estado,Abreviatura,Regiones,Hombres,Mujeres,Total,Poblacion
Aguascalientes,AG,Centro-norte,11801,11266,23067,1287660
Baja California,BC,Norte,29651,29364,59015,3484150
Baja California Sur,BS,Norte-occidente,5158,5084,10242,763929
Campeche,CM,Sur,7246,7049,14295,907878
Coahuila de Zaragoza,CO,Norte,23802,23326,47128,2960681
Colima,CL,Centro-norte,4831,4721,9552,723455
Chiapas,CS,Sur,74434,71864,146298,5252808
Chihuahua,CH,Norte,28067,26904,54971,3710129
CDMX,CX,Centro,47733,46606,94339,8854600
Durango,DG,Norte-occidente,15924,15135,31059,1764726
Guanajuato,GT,Centro,54314,53094,107409,5817614
Guerrero,GR,Sur,33238,32348,65587,3568139
Hidalgo,HG,Centro,20121,19310,39431,2878369
Jalisco,JC,Centro-norte,65106,62347,127453,7931267
Mexico,EM,Centro,110648,108751,219399,16870388
Michoacan,MI,Centro-norte,41303,39911,81215,4596499
Morelos,MO,Centro,12987,12681,25668,1920350
Nayarit,NA,Norte-occidente,8701,8641,17342,1223797
Nuevo Leon,NL,Norte,41706,40408,82114,5085848
Oaxaca,OA,Sur,36330,35682,72012,4012295
Puebla,PU,Centro,57862,56941,114803,6193836
Queretaro,QT,Centro,16634,16167,32801,2004472
Quintana Roo,QR,Sur,13229,12887,26116,1574824
San Luis Potosi,SL,Centro-norte,21832,21236,43068,2753478
Sinaloa,SI,Norte-occidente,22593,21840,44433,2984571
Sonora,SO,Norte,20598,19963,40561,2932821
Tabasco,TB,Sur,21750,21379,43129,2383900
Tamaulipas,TM,Norte,25089,23959,49048,3543366
Tlaxcala,TL,Centro,10260,10035,20295,1278308
Veracruz,VE,Sur,53582,51455,105037,8046828
Yucatan,YU,Sur,14138,13926,28064,2118762
Zacatecas,ZA,Norte-occidente,14420,14022,28442,1576068
