Pais,Corredor,Lugar,Genero,Edad,Tiempo
GBR,14956,15229,Female,63,281.2666667
NY,19915,20253,Female,42,316.3333333
NY,22111,22469,Female,42,353.1
NY,23231,23603,Female,58,467.1833333
SWE,10601,10826,Female,56,258.5333333
GBR,10217,10437,Female,41,254.5333333
JPN,20992,21344,Female,65,328.9333333
LA,22565,22932,Female,41,371.9833333
NY,4751,4885,Female,41,225.0833333
GA,17141,17454,Female,53,289.2666667
NY,10115,10334,Female,44,256.4833333
TX,22509,22874,Female,51,369.35
GBR,3849,3972,Female,44,220.25
NJ,8282,8480,Female,42,244.95
CA,21476,21831,Female,42,341.7666667
TN,17221,17535,Female,55,295.5
TX,12609,12861,Female,44,268.0666667
CA,13296,13552,Female,43,272.4
NOR,12110,12354,Female,48,265.4
IRL,23180,23551,Female,48,439.8333333
OH,4576,4708,Female,43,223.4333333
FRA,21125,21478,Female,53,330.0666667
ITA,5892,6051,Female,41,234.3
FRA,21157,21510,Female,56,333.2833333
FRA,14366,14632,Female,49,277.7666667
NJ,20945,21297,Female,43,328.0
SWE,19880,20218,Female,50,316.5666667
CAN,7823,8010,Female,41,244.45
WA,18421,18750,Female,50,296.9166667
FRA,20388,20735,Female,44,321.4166667
NY,23290,23662,Female,69,566.7833333
CAN,22198,22556,Female,50,359.8666667
NJ,19359,19695,Female,51,312.2166667
PER,5051,5189,Female,41,228.9666667
NY,19525,19862,Female,46,313.75
CT,5894,6053,Female,43,234.3166667
CT,22351,22712,Female,49,365.5666667
NY,17261,17577,Female,51,291.6166667
NY,15091,15365,Female,41,280.8833333
NY,17527,17848,Female,43,294.1166667
NJ,21808,22163,Female,48,349.1
MN,1013,1053,Female,42,190.9333333
NY,21579,21934,Female,54,339.0666667
NC,16447,16741,Female,42,288.5666667
AUS,8697,8899,Female,53,249.3833333
NJ,17617,17939,Female,45,293.85
NJ,14059,14324,Female,47,272.5
NY,14727,14999,Female,46,280.9
NJ,20466,20813,Female,54,325.3333333
NY,15654,15937,Female,42,278.8666667
NY,17937,18264,Female,44,299.9666667
GBR,5282,5427,Female,42,230.75
NY,7863,8051,Female,46,244.85
GBR,21512,21867,Female,58,340.65
GBR,10796,11024,Female,43,258.25
NY,7006,7184,Female,41,237.1833333
SUI,14690,14961,Female,57,274.25
FRA,19707,20045,Female,48,313.1166667
NY,13875,14137,Female,41,274.0333333
CO,14464,14730,Female,51,271.8166667
GBR,21036,21388,Female,42,329.6833333
BER,14618,14886,Female,45,277.6333333
FRA,22798,23168,Female,56,390.0
CA,5737,5890,Female,43,233.9166667
GER,15821,16108,Female,44,283.6333333
MA,10794,11022,Female,41,257.55
GBR,14334,14600,Female,50,272.6666667
FRA,18367,18696,Female,44,299.8
NY,16756,17060,Female,42,285.0
GBR,15375,15654,Female,42,281.7833333
NJ,5937,6096,Female,42,235.0333333
NY,14217,14483,Female,62,277.6833333
NY,13679,13939,Female,60,274.65
GER,13618,13878,Female,47,270.7
TX,20591,20940,Female,41,326.75
CT,21916,22271,Female,55,349.85
CA,22163,22521,Female,42,353.5666667
NY,23273,23645,Female,46,501.55
TN,15901,16189,Female,51,285.35
GER,14889,15162,Female,50,278.1166667
IRL,16419,16713,Female,53,289.0166667
