Estado,Abreviatura,Regiones,Mujeres,Hombres,No_especificado,Total,Poblacion
 Aguascalientes,AG,Centro-norte,13,89, ,102,1425607
 Baja California,BC,Norte,334,2617,133,3084,3769020
 Baja California Sur,BS,Norte-occidente,8,53, ,61,798447
 Campeche,CM,Sur,14,93, ,107,928363
 Coahuila de Zaragoza,CO,Norte,24,133, ,157,3146771
 Colima,CL,Centro-norte,53,485,1,539,731391
 Chiapas,CS,Sur,65,491,4,560,5543828
 Chihuahua,CH,Norte,324,2324, ,2648,3741869
 CDMX,CX,Centro,127,946,1,1074,9209944
 Durango,DG,Norte-occidente,9,125,1,135,1832650
 Guanajuato,GT,Centro,526,3498,20,4044,6166934
 Guerrero,GR,Sur,149,1259,10,1418,3540685
 Hidalgo,HG,Centro,43,240, ,283,3082841
 Jalisco,JC,Centro-norte,235,1852,5,2092,8348151
 Mexico,EM,Centro,432,2635,20,3087,16992418
 Michoacan,MI,Centro-norte,267,2373,2,2642,4748846
 Morelos,MO,Centro,97,1045, ,1142,1971520
 Nayarit,NA,Norte-occidente,28,172,3,203,1235456
 Nuevo Leon,NL,Norte,101,957, ,1058,5784442
 Oaxaca,OA,Sur,80,664, ,744,4132148
 Puebla,PU,Centro,109,706,3,818,6583278
 Queretaro,QT,Centro,27,199, ,226,2368467
 Quintana Roo,QR,Sur,75,594, ,669,1857985
 San Luis Potosi,SL,Centro-norte,82,686,9,777,2822255
 Sinaloa,SI,Norte-occidente,35,571,1,607,3026943
 Sonora,SO,Norte,150,1699,73,1922,2944840
 Tabasco,TB,Sur,45,390, ,435,2402598
 Tamaulipas,TM,Norte,62,610,41,713,3527735
 Tlaxcala,TL,Centro,29,130, ,159,1342977
 Veracruz,VE,Sur,107,820,1,928,8062579
 Yucatan,YU,Sur,7,43, ,50,2320898
 Zacatecas,ZA,Norte-occidente,163,1520,6,1689,1622138
